                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1444,                 0.7669,                 1.5763,                0.96724,                0.95943,                0.98559,                   0.76,                 0.9067,                0.58913,                 1.3702,               0.000614,               0.000614,               0.000614
                     72,                 1.0907,                0.71559,                  1.556,                0.97412,                0.95118,                0.97943,                0.75328,                0.93893,                0.57424,                 1.3856,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0375,                0.71946,                 1.5151,                0.98165,                0.96554,                0.98807,                 0.7737,                0.86055,                0.55964,                 1.3482,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1076,                0.72303,                 1.5643,                0.98398,                0.97112,                0.98755,                0.75076,                0.91661,                0.58802,                 1.3544,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0532,                0.73571,                 1.5386,                0.98301,                 0.9639,                0.98055,                0.76335,                0.88032,                0.56346,                 1.3536,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0441,                0.70249,                 1.5057,                0.98573,                0.96029,                0.98184,                0.76554,                0.86149,                0.56228,                 1.3451,               0.000515,               0.000515,               0.000515
                     77,                 1.0619,                0.68594,                 1.5271,                0.99048,                0.95668,                0.98211,                0.76966,                0.85386,                0.57058,                 1.3289,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1514,                0.73477,                 1.5693,                0.97447,                0.96472,                0.98701,                 0.7749,                0.84951,                0.56171,                 1.3282,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0954,                0.73757,                 1.5465,                0.96303,                 0.9639,                0.98264,                0.75489,                0.88618,                0.59291,                 1.3604,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0606,                0.71292,                  1.536,                0.98156,                0.96056,                0.98437,                0.77122,                0.83942,                0.54625,                 1.3147,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0432,                0.71117,                 1.5015,                0.97799,                 0.9639,                0.98371,                0.78381,                0.82305,                0.53781,                 1.3077,               0.000416,               0.000416,               0.000416
                     82,                 1.0282,                0.69783,                  1.486,                0.97797,                0.96138,                0.98133,                0.77012,                0.85883,                0.54973,                 1.3263,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0136,                0.67126,                 1.4961,                0.98774,                0.96751,                  0.987,                0.77874,                0.84137,                0.53167,                 1.3336,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0892,                0.71864,                 1.5423,                0.99261,                0.96964,                0.98962,                0.78885,                0.82716,                 0.5106,                 1.3107,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0459,                 0.6645,                 1.5127,                0.98167,                0.96659,                0.98628,                0.78855,                0.80692,                0.51374,                 1.2959,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0115,                  0.673,                 1.4918,                0.98887,                0.97112,                0.98306,                0.78342,                0.81194,                 0.5231,                  1.308,               0.000317,               0.000317,               0.000317
                     87,                 1.0044,                0.65089,                 1.4883,                0.98533,                0.96975,                0.98095,                0.77637,                0.82772,                0.51653,                 1.3258,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0475,                0.67175,                 1.5477,                0.97826,                0.97466,                0.98273,                0.76575,                0.84424,                0.51871,                 1.3185,              0.0002774,              0.0002774,              0.0002774
                     89,                0.98448,                0.68316,                 1.4705,                 0.9725,                0.96751,                0.98522,                0.79415,                0.79316,                0.50605,                 1.2978,              0.0002576,              0.0002576,              0.0002576
                     90,                0.99621,                0.65644,                 1.4707,                0.98174,                 0.9704,                  0.984,                0.78055,                0.82101,                0.51667,                 1.2876,              0.0002378,              0.0002378,              0.0002378
                     91,                0.92622,                0.64848,                 1.3868,                0.97445,                0.96029,                0.98199,                0.77669,                0.82527,                0.53064,                 1.2912,               0.000218,               0.000218,               0.000218
                     92,                0.92252,                0.58964,                 1.3942,                0.99622,                0.95083,                0.98193,                 0.7823,                0.82156,                0.52298,                 1.2985,              0.0001982,              0.0001982,              0.0001982
                     93,                0.89542,                0.57048,                  1.367,                0.98882,                0.95767,                0.98081,                0.78189,                0.82704,                0.52244,                 1.3009,              0.0001784,              0.0001784,              0.0001784
                     94,                0.89049,                0.57224,                 1.3561,                0.98765,                0.97112,                0.98791,                0.79403,                0.80625,                 0.5164,                 1.2898,              0.0001586,              0.0001586,              0.0001586
                     95,                0.85566,                0.54761,                 1.3338,                0.98593,                0.97112,                0.98628,                0.79539,                0.79364,                0.50211,                 1.2783,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88168,                0.56069,                 1.3549,                0.98407,                0.96751,                 0.9869,                0.79922,                0.78633,                0.49654,                 1.2702,               0.000119,               0.000119,               0.000119
                     97,                0.87103,                 0.5559,                  1.347,                0.98392,                0.96751,                0.98673,                0.80279,                0.77636,                 0.4902,                 1.2655,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.87034,                0.55528,                 1.3579,                0.98063,                0.97112,                 0.9879,                0.79751,                0.78309,                0.49188,                 1.2707,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.82727,                0.53598,                 1.3008,                0.98524,                0.96751,                0.98951,                0.80615,                0.76531,                0.48999,                 1.2677,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.83539,                0.53714,                  1.328,                0.98527,                0.96609,                0.98975,                 0.8031,                0.76627,                0.48952,                 1.2678,               3.98e-05,               3.98e-05,               3.98e-05
